_corrupt_record,content_duration,course_id,course_title,is_paid,level,num_lectures,num_reviews,num_subscribers,price,published_timestamp,subject,url
,1.0,987682,Stocks: Quick Method to get started Investing,False,Beginner Level,7.0,13,718,0.0,2017-05-18T17:37:33Z,Business Finance,https://www.udemy.com/quick-method-investing/
,1.5,835212,The Fundamentals Of Finance For Non-Finance Professionals,True,All Levels,7.0,3,206,40.0,2016-05-18T16:02:21Z,Business Finance,https://www.udemy.com/finance-for-nonfinance/
,0.5833333333333334,882276,Forex - Top Equity Management Strategy,True,All Levels,13.0,4,18,20.0,2016-06-20T19:56:50Z,Business Finance,https://www.udemy.com/forex-millionaire-money-management-strategy/
,4.5,971110,The Truths about (in)secure Retirement,True,Intermediate Level,32.0,6,86,200.0,2016-10-03T18:42:18Z,Business Finance,https://www.udemy.com/retirement-planning-calculator/
,2.0,414744,Learn How to File Taxes for Uber and Lyft Drivers,True,All Levels,25.0,5,294,40.0,2015-02-12T06:17:10Z,Business Finance,https://www.udemy.com/learn-how-to-file-taxes-from-uber-lyft/
,1.5,537286,Learn the Basics of the Wave Principle:,True,Beginner Level,10.0,4,27,30.0,2015-07-02T00:12:02Z,Business Finance,https://www.udemy.com/the-basics-of-the-wave-principle/
,3.5,1123226,MasterClass-Japanese &  Heiken Ashi CandleStick Patterns,True,All Levels,26.0,10,375,195.0,2017-03-12T16:13:38Z,Business Finance,https://www.udemy.com/power-of-engulfing-candlestick-patterns-in-forex-trading/
,2.0,1170626,Start Trading Stocks Using Technical Analysis! Part 2,True,All Levels,25.0,11,94,95.0,2017-05-23T00:20:02Z,Business Finance,https://www.udemy.com/start-trading-stocks-using-technical-analysis-part-2/
,1.5,1016996,Introduction to Corporate Finance (Mergers & Acquisitions),False,Beginner Level,30.0,83,2080,0.0,2017-02-28T16:14:06Z,Business Finance,https://www.udemy.com/introduction-to-corporate-finance/
,9.0,1046992,Forex & Financial Market Trading Tutorial- Online Strategies,False,All Levels,69.0,30,3137,0.0,2017-04-12T16:26:51Z,Business Finance,https://www.udemy.com/forex-education-school-pforex/
,1.5,929526,Learn to trade Candlestick Patterns,True,Intermediate Level,22.0,23,155,20.0,2016-08-16T23:58:31Z,Business Finance,https://www.udemy.com/learn-to-trade-candlestick-patterns/
,0.6833333333333333,631276,High-Frequency Trading #2: Market Structure & Instruments,True,All Levels,12.0,11,1732,50.0,2015-11-19T18:22:19Z,Business Finance,https://www.udemy.com/high-frequency-trading-2-market-structure-instruments/
,2.0,86558,The Art Of Financial Valuation With Certificate,True,All Levels,12.0,12,3372,20.0,2013-09-29T23:52:54Z,Business Finance,https://www.udemy.com/learn-how-to-think-like-a-financier-leadership-in-finance/
,2.0,615600,Sensitivity & Scenario Analysis for CA / CFA / CPA Exams,True,All Levels,13.0,3,2185,20.0,2015-09-20T20:26:40Z,Business Finance,https://www.udemy.com/sensitivity-and-scenario-analysis-in-capital-budgeting/
,6.0,799434,"Economics:   Competition, Elasticity, a little Game Theory",True,All Levels,42.0,14,1008,50.0,2016-04-12T15:12:18Z,Business Finance,https://www.udemy.com/micro-econ-game-theory/
,5.5,1088656,Quantitative Trading Analysis with Python,True,All Levels,49.0,17,256,50.0,2017-01-27T17:11:28Z,Business Finance,https://www.udemy.com/quantitative-trading-analysis-with-python/
,2.5,674354,Invest Like a Pro!,True,Beginner Level,15.0,22,1173,200.0,2015-12-29T18:56:44Z,Business Finance,https://www.udemy.com/mastering-darvas-trade-like-a-pro-on-the-stock-market/
,4.0,1187758,Options Trading Essentials: The ULTIMATE Guides,False,All Levels,20.0,6,1352,0.0,2017-04-24T21:59:20Z,Business Finance,https://www.udemy.com/options-trading-essentials/
,3.5,548764,ACCA FA1 Recording Financial Transactions,True,Beginner Level,27.0,8,49,50.0,2015-07-14T23:01:39Z,Business Finance,https://www.udemy.com/acca-fa1-recording-financial-transactions/
,2.0,410576,CFA® Level 1 2014 – Portfolio Management,True,All Levels,10.0,2,124,40.0,2015-03-02T01:46:14Z,Business Finance,https://www.udemy.com/portfolio-management-cfa-level-1/
,1.0,501384,Essentials Of Swing Trading Stocks,True,All Levels,5.0,9,105,20.0,2015-06-03T18:00:18Z,Business Finance,https://www.udemy.com/essentials-of-swing-trading/
,3.5,59725,Small Business and Managerial Accounting Training Tutorial,True,Beginner Level,71.0,3,117,20.0,2013-06-19T17:52:07Z,Business Finance,https://www.udemy.com/small-business-and-managerial-accounting-training-tutorial/
,2.0,47504,Use Crowdfunding Effectively With Indiegogo and Kickstarter,False,All Levels,9.0,32,6533,0.0,2013-06-25T15:22:28Z,Business Finance,https://www.udemy.com/learncrowdfunding/
,1.0,1257502,The Complete Litecoin Crypto Currency Bootcamp,True,All Levels,24.0,3,7,20.0,2017-06-28T23:51:45Z,Business Finance,https://www.udemy.com/the-complete-litecoin-crypto-currency-bootcamp/
,1.5,304426,Bank Reconciliation & VAT on Excel,True,All Levels,19.0,5,30,20.0,2014-09-22T04:56:43Z,Business Finance,https://www.udemy.com/bank-reconciliation-vat-on-excel/
,5.0,581598,Commodity Futures Day Trading Strategies,True,All Levels,28.0,5,91,95.0,2015-08-28T23:47:29Z,Business Finance,https://www.udemy.com/futures-day-trade-course/
,1.0,328842,Learn to invest in the Stock Market,True,Beginner Level,14.0,5,28,40.0,2014-11-12T17:37:03Z,Business Finance,https://www.udemy.com/learn-to-invest-in-the-stock-market/
,2.5,541824,FX Commodity Chart Trading Patterns for Success,True,All Levels,15.0,10,83,50.0,2015-07-19T19:23:14Z,Business Finance,https://www.udemy.com/fx-commodity-chart-patterns-mt4-platform/
,6.0,103144,Forex Elite Trading,True,All Levels,22.0,7,623,85.0,2013-10-18T16:06:44Z,Business Finance,https://www.udemy.com/elite-forex-trading-system-beginners-to-intermediate-traders/
,8.5,937150,How to Invest in Startups - Expert Reveals Winning Secrets.,False,All Levels,145.0,5,1625,0.0,2016-08-29T14:24:43Z,Business Finance,https://www.udemy.com/how-to-invest-in-startups/
,0.5166666666666666,1215926,Kickstarter success in 5 easy steps,True,All Levels,12.0,0,0,20.0,2017-05-16T14:55:28Z,Business Finance,https://www.udemy.com/kickstarter-success-in-5-easy-steps/
,1.0,1035638,Understanding Financial Statements,True,All Levels,10.0,0,0,25.0,2016-12-15T14:56:17Z,Business Finance,https://www.udemy.com/understanding-financial-statements/
,2.0,1249146,Planning and Executing a Financial Statement Audit,True,Intermediate Level,9.0,0,0,50.0,2017-06-29T23:18:51Z,Business Finance,https://www.udemy.com/planning-executing-financial-statement-audit/
,2.0,1233894,The Latest Updates 2016 Financial Accounting Standards Board,True,Intermediate Level,9.0,0,1,50.0,2017-06-29T21:40:54Z,Business Finance,https://www.udemy.com/2016-fasb-updates/
,0.5333333333333333,975910,How to achieve personal transformation,True,All Levels,10.0,0,0,20.0,2016-12-22T00:28:07Z,Business Finance,https://www.udemy.com/learnhowtocreatewealth/
,0.7333333333333333,1221942,Basic Bookkeeping,True,Beginner Level,12.0,0,0,35.0,2017-05-23T16:20:18Z,Business Finance,https://www.udemy.com/basic-bookkeeping-course/
,2.5,1169196,"Credit concepts and checklist for bankers, credit analyst",True,Beginner Level,10.0,0,0,20.0,2017-04-24T14:56:01Z,Business Finance,https://www.udemy.com/credit-concepts-and-checklist-for-bankers-credit-analyst/
,1.0,1271182,Practical Film Financing: Finding & Pitching Investors,True,Beginner Level,9.0,0,0,100.0,2017-07-05T21:46:55Z,Business Finance,https://www.udemy.com/indiefilm-financing/
,2.0,1233302,Ratio Analysis for Financial Statements,True,Beginner Level,6.0,0,0,50.0,2017-07-03T21:39:57Z,Business Finance,https://www.udemy.com/ratio-analysis-financial-statements/
,2.5,1231958,60 Minutes to Fundamental Accounting Skills,True,Beginner Level,9.0,0,0,75.0,2017-06-28T21:55:29Z,Business Finance,https://www.udemy.com/60-minute-fundamental-accounting-skills/
,0.6166666666666667,837322,Essentials of money value: Get a financial Life !,True,All Levels,20.0,0,0,20.0,2016-05-16T18:28:30Z,Business Finance,https://www.udemy.com/essentials-of-money-value/
,1.5,1157298,Introduction to Forex Trading Business For Beginners,True,Beginner Level,27.0,0,0,20.0,2017-04-23T16:19:01Z,Business Finance,https://www.udemy.com/introduction-to-forex-trading-business-for-beginners/
,2.0,42645,"Backspreads, Diagonals and Butterflies - Advanced Strategies",True,Expert Level,10.0,41,737,60.0,2013-03-03T22:15:18Z,Business Finance,https://www.udemy.com/calendars-diagonals-butterfly-spreads/
,4.0,355622,Trade Forex 13 Patterns - Golden Ratios Secret Revealed,True,All Levels,44.0,63,554,200.0,2015-01-10T13:49:22Z,Business Finance,https://www.udemy.com/forex-13-patterns-trade-with-precision/
,6.0,514036,Crystal ball trading - foresee price with seasonal patterns,True,All Levels,23.0,19,807,145.0,2015-06-14T22:08:54Z,Business Finance,https://www.udemy.com/seasonality/
,1.0,45136,Weekly Options and study of Options expiration dynamics,True,Expert Level,6.0,56,779,60.0,2013-03-08T12:22:12Z,Business Finance,https://www.udemy.com/weekly-options/
,1.0,371574,Cost Accounting Basics (Professional Course Level),True,Beginner Level,23.0,11,1777,20.0,2014-12-17T01:11:28Z,Business Finance,https://www.udemy.com/basics-of-cost-accounting/
,0.6166666666666667,915964,Learn to Reliably Invest In The Stock Market,True,All Levels,19.0,14,841,50.0,2016-07-29T15:06:31Z,Business Finance,https://www.udemy.com/become-a-stock-millionaire/
,2.5,1209556,Hedge Fund Trading Systems Part Two - Stocks & ETFs,True,Expert Level,23.0,10,56,200.0,2017-05-16T22:22:15Z,Business Finance,https://www.udemy.com/hedge-fund-trading-systems-two/
,2.0,412856,Stock Market Option Trading: How Sell Options For Premium,True,Intermediate Level,19.0,8,1909,200.0,2015-02-08T20:06:08Z,Business Finance,https://www.udemy.com/make-a-steady-monthly-income-selling-stock-options/
,1.5,42651,Straddles and Strangles - Volatility moves in any direction,True,Expert Level,11.0,54,775,60.0,2013-03-12T12:30:40Z,Business Finance,https://www.udemy.com/straddles-and-strangles/
,3.0,294914,Debt Collection Management: Get Paid On Time EVERY TIME!,True,All Levels,38.0,8,1255,20.0,2015-01-27T07:50:28Z,Business Finance,https://www.udemy.com/accounts-receivable-help/
,1.5,219306,Learn about it,True,All Levels,27.0,24,1193,20.0,2014-06-05T22:40:42Z,Business Finance,https://www.udemy.com/the-mysterious-camarilla-equation/
,1.5,652768,Trading: Basics of Trading for Beginners,True,Beginner Level,20.0,4,1309,140.0,2015-11-11T01:30:17Z,Business Finance,https://www.udemy.com/money-basics-of-trading-for-beginners/
,2.5,42197,Options Spreads Bundle-  the heart of Options Trading,True,Intermediate Level,8.0,43,623,120.0,2013-02-19T15:04:46Z,Business Finance,https://www.udemy.com/options-spreads-explained/
,0.5666666666666667,936298,Trade the News in Forex: EA Robot Included,True,All Levels,11.0,11,276,200.0,2016-08-30T02:40:52Z,Business Finance,https://www.udemy.com/tradethenews/
,6.5,885443,Investment Portfolio Analysis with R,True,All Levels,37.0,38,314,50.0,2016-06-27T20:39:08Z,Business Finance,https://www.udemy.com/investment-portfolio-analysis-with-r/
,1.5,585208,Basics of Economics For Beginners A to Z - A Complete Course,True,Beginner Level,24.0,5,1942,170.0,2015-08-24T00:36:33Z,Business Finance,https://www.udemy.com/basics-of-economics-for-absolute-beginners/
,0.7166666666666667,386922,Seeing the Big Picture: Understanding Financial Statements,True,All Levels,14.0,69,885,50.0,2015-01-07T21:40:43Z,Business Finance,https://www.udemy.com/seeing-the-big-picture-financial-statements-made-easy/
,4.5,1023650,Financial Modeling for Professionals in 1 Day!,True,Intermediate Level,29.0,12,226,200.0,2016-12-05T16:33:34Z,Business Finance,https://www.udemy.com/financial-modeling-for-professionals/
,5.0,676764,Create Your Own Automated Stock Trading Robot In EXCEL!,True,All Levels,44.0,45,461,150.0,2015-12-09T18:35:24Z,Business Finance,https://www.udemy.com/automated-trading-excel/
,3.0,696342,FOREX: From Zero To Hero,True,All Levels,26.0,27,152,150.0,2017-02-07T05:21:14Z,Business Finance,https://www.udemy.com/forex-from-zero-to-hero/
,3.0,41145,Learn Call Options and Put Options - Introduction to Options,True,Beginner Level,20.0,74,1017,60.0,2013-02-15T20:43:11Z,Business Finance,https://www.udemy.com/learn-options-trading-introduction-call-put-options/
,1.0,145220,1. Principles of Simple Interest ,True,All Levels,13.0,6,1074,20.0,2014-01-13T20:43:46Z,Business Finance,https://www.udemy.com/principles-of-simple-interest/
,1.0,868686,Double Entry Bookkeeping,True,Beginner Level,10.0,17,440,50.0,2016-06-15T18:23:18Z,Business Finance,https://www.udemy.com/double-entry-bookkeeping/
