course_title,num_lectures
"Accounting Superpowers: Learn Accounts, Understand Business!",34.0
Python Algo Trading: FX Trading with Oanda,33.0
Save on Your Taxes,23.0
Option Trading for Rookies: The Covered Call Option Strategy,29.0
EFT for Stock Options Trading Success & Making Better Trades,31.0
Learn to Trade the Stock Market without Blowing Your Profits,34.0
Get a Credit Repair Publication On Amazon and Live LIFE..,25.0
Fundamentals of Accounting,25.0
"RSI, Options Trading & Technical Analysis (3 Course Bundle)",46.0
Basics of Mutual Funds for CA / CMA / CS / CFA Exams,17.0
Accounting 101: How to read an Accounting Balance Sheet,22.0
Stock Options Day Trading Mindset for Success,43.0
Introduction to bookkeeping and Accounting,20.0
Learn to Trade The News,544.0
"Value Investing, Taught by Six Superinvestors",66.0
Trading for everyone - The Independent Investor Course I,36.0
Get Acquired: Learn From The Head Of Acquisitions For eBay,29.0
Stock Market investment: Practical Accounting,43.0
"How to remove 'Risk from Penny Stocks - Options Trading""",22.0
"Tax Accounting: Difficult Topic, Made Easy to Understand",29.0
Analysis of Company Financial Statements,34.0
Forex Trading Like Banks – Step by Step with Live Examples,40.0
Bank Financial Management A Comprehensive Study,21.0
Learn to Trade Forex and Stocks: From Beginner to Advanced,42.0
Naked Put Options Trade Covered Call & Poor Man Covered Call,19.0
The Ultimate Guide to Dividend & Dividend Growth Investing,88.0
Build a DCF Valuation Model,44.0
Introductory Financial Accounting,54.0
Trade Pullback Candlestick Strategy - Make Consistent Pips,24.0
QuickBooks 2015 Training for Newbies,76.0
TRADING PSYCHOLOGY: Trading Mindset Mastery,23.0
Option Trading: How to Adjust Delta-Neutral Strangles!,26.0
Profitable binary option trading strategy,24.0
Tax Strategy: Financial Planning for Beginners,25.0
Accounting 2 Simplified for You,27.0
Investing: How I Consistently Beat The Stock Market,34.0
Bookkeeping Basics:  Understand the Fundamentals,48.0
Leasing - A Comprehensive Study (Professional Course Level),22.0
Trading Options For Consistent Returns: Options Basics,20.0
Financial modeling: Build a DCF equity valuation model,31.0
Accounting Is Easy (for Beginners),90.0
Non Directional Weekly Options Trading System - ETF & Emini,21.0
Basics of investing in Mutual Funds,42.0
Learn how to INVEST for huge profits or make it big trading!,37.0
"How to Fund your Million Dollar Idea: Equity, Debt, Unfund",54.0
Mastering Candlestick Charting : High Probability Trading,35.0
Stock Technical Analysis with R,49.0
Apply finance concepts for smart project management,24.0
Comprehensive Forex Mastery Program,97.0
Preparation of Consolidated Financial Statements (Basic),18.0
Learn to Trade for Profit: Ten Most Profitable Trading Rules,45.0
Succeed in Lotto Even if You Don't Know Where to Start!,18.0
CFA Corporate Finance Level 2,128.0
Pin Bars: The Most Powerful Forex Trading Signal,19.0
Introduction to Options - Strategies For Consistent Profits,55.0
Basics of Business Statistics (College Level),28.0
Interpreting Financial Statements,23.0
Introduction to Bookkeeping (Accounting),59.0
CREDIT SPREAD SURGERY - Bear Call and Bull Put Mastery ,16.0
Investment Banking: How to Land a Job on Wall Street,63.0
Learn To Invest In Index Funds and ETFs In 7 Easy Steps,18.0
Financial modeling: Build a multiples valuation model,20.0
Trading Binary Options for Fun and Profit,46.0
CFA: Fast Track your career in Finance,21.0
Excel Dashboard - Interactive Excel Dashboard and Charts,34.0
The Securities Trade Lifecycle,22.0
Double your Forex Account using the MAGIC MA trading robot,24.0
Technical Analysis 101: How to Profit During Market Crashes,53.0
Advanced Accounting for Investment Banking,38.0
Investing In Stocks With 10 Simple Rules,59.0
Venture Capital. What is it and Why it Matters to You!,25.0
Cash Flow Valuation: Develop Your Financial Literacy,19.0
Direction-Independ Trading - Elite Forex Traders  Strategy,28.0
How to Become a Financial Analyst from Scratch!,38.0
Financial analysis: Compare performance of companies,20.0
Read financial statements like a pro,38.0
Learn How To Trade Gold In 2017,16.0
IAS 18 - Revenue,23.0
Forex Trading: The High ROI Forex Trading End of Day Course,19.0
